player_name,salary,position,actual_team,grouped_position,war_value,Payroll,optimal_team
Carlos Correa,11700000,SS,HOU,IF,6.765,203628978,NYY
Marcus Semien,18000000,2B,TOR,IF,6.725,203628978,NYY
Jose Ramirez,9400000,3B,CLE,IF,6.615,203628978,NYY
Walker Buehler,3750000,SP,LAD,SP,6.51,203628978,NYY
Bryce Harper,27538462,RF,PHI,OF,6.23,203628978,NYY
Robbie Ray,8000000,SP,TOR,SP,5.863333333,203628978,NYY
Aaron Judge,10175000,RF,NYY,OF,5.72,203628978,NYY
Brandon Woodruff,3275000,SP,MIL,SP,5.58,203628978,NYY
Matt Olson,5000000,1B,OAK,IF,5.355,203628978,NYY
Carlos Rodon,3000000,SP,CHW,SP,5.09,203628978,NYY
Shohei Ohtani,3000000,DH,LAA,DH,5.015,203628978,NYY
Enrique Hernandez,6000000,CF,BOS,OF,4.485,203628978,NYY
Buster Posey,22177778,C,SFG,C,4.18,203628978,NYY
Mike Zunino,2000000,C,TBR,C,4.125,203628978,NYY
Josh Hader,6675000,RP,MIL,RP,3.116666667,203628978,NYY
Jesse Winker,3150000,LF,CIN,OF,2.865,203628978,NYY
Liam Hendriks,11333333,RP,CHW,RP,2.563333333,203628978,NYY
Aaron Loup,3000000,RP,NYM,RP,2.43,203628978,NYY
Andrew Chafin,2250000,RP,CHC,RP,2.403333334,203628978,NYY
Blake Treinen,8000000,RP,LAD,RP,2.213333333,203628978,NYY
Chad Green,2150000,RP,NYY,RP,1.953333333,203628978,NYY
Kendall Graveman,1250000,RP,SEA,RP,1.813333334,203628978,NYY
Zack Wheeler,22500000,SP,PHI,SP,7.166666667,198818899,NYM
Juan Soto,8500000,RF,WSN,OF,7.06,198818899,NYM
Fernando Tatis Jr.,1714286,SS,SDP,IF,6.96,198818899,NYM
Carlos Correa,11700000,SS,HOU,IF,6.765,198818899,NYM
Marcus Semien,18000000,2B,TOR,IF,6.725,198818899,NYM
Jose Ramirez,9400000,3B,CLE,IF,6.615,198818899,NYM
Walker Buehler,3750000,SP,LAD,SP,6.51,198818899,NYM
Bryce Harper,27538462,RF,PHI,OF,6.23,198818899,NYM
Robbie Ray,8000000,SP,TOR,SP,5.863333333,198818899,NYM
Aaron Judge,10175000,RF,NYY,OF,5.72,198818899,NYM
Brandon Woodruff,3275000,SP,MIL,SP,5.58,198818899,NYM
Matt Olson,5000000,1B,OAK,IF,5.355,198818899,NYM
Carlos Rodon,3000000,SP,CHW,SP,5.09,198818899,NYM
Shohei Ohtani,3000000,DH,LAA,DH,5.015,198818899,NYM
Enrique Hernandez,6000000,CF,BOS,OF,4.485,198818899,NYM
Salvador Perez,14200000,C,KCR,C,4.345,198818899,NYM
Mike Zunino,2000000,C,TBR,C,4.125,198818899,NYM
Josh Hader,6675000,RP,MIL,RP,3.116666667,198818899,NYM
Jesse Winker,3150000,LF,CIN,OF,2.865,198818899,NYM
Liam Hendriks,11333333,RP,CHW,RP,2.563333333,198818899,NYM
Aaron Loup,3000000,RP,NYM,RP,2.43,198818899,NYM
Andrew Chafin,2250000,RP,CHC,RP,2.403333334,198818899,NYM
Blake Treinen,8000000,RP,LAD,RP,2.213333333,198818899,NYM
Chad Green,2150000,RP,NYY,RP,1.953333333,198818899,NYM
Kendall Graveman,1250000,RP,SEA,RP,1.813333334,198818899,NYM
Zack Wheeler,22500000,SP,PHI,SP,7.166666667,192366818,PHI
Juan Soto,8500000,RF,WSN,OF,7.06,192366818,PHI
Fernando Tatis Jr.,1714286,SS,SDP,IF,6.96,192366818,PHI
Carlos Correa,11700000,SS,HOU,IF,6.765,192366818,PHI
Marcus Semien,18000000,2B,TOR,IF,6.725,192366818,PHI
Jose Ramirez,9400000,3B,CLE,IF,6.615,192366818,PHI
Walker Buehler,3750000,SP,LAD,SP,6.51,192366818,PHI
Bryce Harper,27538462,RF,PHI,OF,6.23,192366818,PHI
Robbie Ray,8000000,SP,TOR,SP,5.863333333,192366818,PHI
Aaron Judge,10175000,RF,NYY,OF,5.72,192366818,PHI
Brandon Woodruff,3275000,SP,MIL,SP,5.58,192366818,PHI
Matt Olson,5000000,1B,OAK,IF,5.355,192366818,PHI
Carlos Rodon,3000000,SP,CHW,SP,5.09,192366818,PHI
Shohei Ohtani,3000000,DH,LAA,DH,5.015,192366818,PHI
Enrique Hernandez,6000000,CF,BOS,OF,4.485,192366818,PHI
Mike Zunino,2000000,C,TBR,C,4.125,192366818,PHI
Josh Hader,6675000,RP,MIL,RP,3.116666667,192366818,PHI
Jesse Winker,3150000,LF,CIN,OF,2.865,192366818,PHI
Jacob Stallings,1300000,C,PIT,C,2.81,192366818,PHI
Liam Hendriks,11333333,RP,CHW,RP,2.563333333,192366818,PHI
Aaron Loup,3000000,RP,NYM,RP,2.43,192366818,PHI
Andrew Chafin,2250000,RP,CHC,RP,2.403333334,192366818,PHI
Blake Treinen,8000000,RP,LAD,RP,2.213333333,192366818,PHI
Ryan Pressly,8750000,RP,HOU,RP,2.163333333,192366818,PHI
Chad Green,2150000,RP,NYY,RP,1.953333333,192366818,PHI
Zack Wheeler,22500000,SP,PHI,SP,7.166666667,189586134,HOU
Juan Soto,8500000,RF,WSN,OF,7.06,189586134,HOU
Fernando Tatis Jr.,1714286,SS,SDP,IF,6.96,189586134,HOU
Carlos Correa,11700000,SS,HOU,IF,6.765,189586134,HOU
Marcus Semien,18000000,2B,TOR,IF,6.725,189586134,HOU
Jose Ramirez,9400000,3B,CLE,IF,6.615,189586134,HOU
Walker Buehler,3750000,SP,LAD,SP,6.51,189586134,HOU
Bryce Harper,27538462,RF,PHI,OF,6.23,189586134,HOU
Robbie Ray,8000000,SP,TOR,SP,5.863333333,189586134,HOU
Aaron Judge,10175000,RF,NYY,OF,5.72,189586134,HOU
Brandon Woodruff,3275000,SP,MIL,SP,5.58,189586134,HOU
Matt Olson,5000000,1B,OAK,IF,5.355,189586134,HOU
Carlos Rodon,3000000,SP,CHW,SP,5.09,189586134,HOU
Shohei Ohtani,3000000,DH,LAA,DH,5.015,189586134,HOU
Enrique Hernandez,6000000,CF,BOS,OF,4.485,189586134,HOU
Mike Zunino,2000000,C,TBR,C,4.125,189586134,HOU
Josh Hader,6675000,RP,MIL,RP,3.116666667,189586134,HOU
Jesse Winker,3150000,LF,CIN,OF,2.865,189586134,HOU
Jacob Stallings,1300000,C,PIT,C,2.81,189586134,HOU
Liam Hendriks,11333333,RP,CHW,RP,2.563333333,189586134,HOU
Aaron Loup,3000000,RP,NYM,RP,2.43,189586134,HOU
Andrew Chafin,2250000,RP,CHC,RP,2.403333334,189586134,HOU
Blake Treinen,8000000,RP,LAD,RP,2.213333333,189586134,HOU
Ryan Pressly,8750000,RP,HOU,RP,2.163333333,189586134,HOU
Kendall Graveman,1250000,RP,SEA,RP,1.813333334,189586134,HOU
Zack Wheeler,22500000,SP,PHI,SP,7.166666667,187356913,BOS
Juan Soto,8500000,RF,WSN,OF,7.06,187356913,BOS
Fernando Tatis Jr.,1714286,SS,SDP,IF,6.96,187356913,BOS
Carlos Correa,11700000,SS,HOU,IF,6.765,187356913,BOS
Marcus Semien,18000000,2B,TOR,IF,6.725,187356913,BOS
Jose Ramirez,9400000,3B,CLE,IF,6.615,187356913,BOS
Walker Buehler,3750000,SP,LAD,SP,6.51,187356913,BOS
Bryce Harper,27538462,RF,PHI,OF,6.23,187356913,BOS
Robbie Ray,8000000,SP,TOR,SP,5.863333333,187356913,BOS
Aaron Judge,10175000,RF,NYY,OF,5.72,187356913,BOS
Brandon Woodruff,3275000,SP,MIL,SP,5.58,187356913,BOS
Matt Olson,5000000,1B,OAK,IF,5.355,187356913,BOS
Carlos Rodon,3000000,SP,CHW,SP,5.09,187356913,BOS
Shohei Ohtani,3000000,DH,LAA,DH,5.015,187356913,BOS
Enrique Hernandez,6000000,CF,BOS,OF,4.485,187356913,BOS
Mike Zunino,2000000,C,TBR,C,4.125,187356913,BOS
Josh Hader,6675000,RP,MIL,RP,3.116666667,187356913,BOS
Kyle Schwarber,7000000,LF,WSN,OF,2.98,187356913,BOS
Jacob Stallings,1300000,C,PIT,C,2.81,187356913,BOS
Liam Hendriks,11333333,RP,CHW,RP,2.563333333,187356913,BOS
Aaron Loup,3000000,RP,NYM,RP,2.43,187356913,BOS
Andrew Chafin,2250000,RP,CHC,RP,2.403333334,187356913,BOS
Blake Treinen,8000000,RP,LAD,RP,2.213333333,187356913,BOS
Chad Green,2150000,RP,NYY,RP,1.953333333,187356913,BOS
Kendall Graveman,1250000,RP,SEA,RP,1.813333334,187356913,BOS
Zack Wheeler,22500000,SP,PHI,SP,7.166666667,184125634,SDP
Juan Soto,8500000,RF,WSN,OF,7.06,184125634,SDP
Fernando Tatis Jr.,1714286,SS,SDP,IF,6.96,184125634,SDP
Carlos Correa,11700000,SS,HOU,IF,6.765,184125634,SDP
Marcus Semien,18000000,2B,TOR,IF,6.725,184125634,SDP
Jose Ramirez,9400000,3B,CLE,IF,6.615,184125634,SDP
Walker Buehler,3750000,SP,LAD,SP,6.51,184125634,SDP
Bryce Harper,27538462,RF,PHI,OF,6.23,184125634,SDP
Robbie Ray,8000000,SP,TOR,SP,5.863333333,184125634,SDP
Aaron Judge,10175000,RF,NYY,OF,5.72,184125634,SDP
Brandon Woodruff,3275000,SP,MIL,SP,5.58,184125634,SDP
Matt Olson,5000000,1B,OAK,IF,5.355,184125634,SDP
Carlos Rodon,3000000,SP,CHW,SP,5.09,184125634,SDP
Shohei Ohtani,3000000,DH,LAA,DH,5.015,184125634,SDP
Enrique Hernandez,6000000,CF,BOS,OF,4.485,184125634,SDP
Mike Zunino,2000000,C,TBR,C,4.125,184125634,SDP
Josh Hader,6675000,RP,MIL,RP,3.116666667,184125634,SDP
Jesse Winker,3150000,LF,CIN,OF,2.865,184125634,SDP
Jacob Stallings,1300000,C,PIT,C,2.81,184125634,SDP
Liam Hendriks,11333333,RP,CHW,RP,2.563333333,184125634,SDP
Aaron Loup,3000000,RP,NYM,RP,2.43,184125634,SDP
Andrew Chafin,2250000,RP,CHC,RP,2.403333334,184125634,SDP
Blake Treinen,8000000,RP,LAD,RP,2.213333333,184125634,SDP
Chad Green,2150000,RP,NYY,RP,1.953333333,184125634,SDP
Kendall Graveman,1250000,RP,SEA,RP,1.813333334,184125634,SDP
Zack Wheeler,22500000,SP,PHI,SP,7.166666667,182925936,LAA
Juan Soto,8500000,RF,WSN,OF,7.06,182925936,LAA
Fernando Tatis Jr.,1714286,SS,SDP,IF,6.96,182925936,LAA
Carlos Correa,11700000,SS,HOU,IF,6.765,182925936,LAA
Marcus Semien,18000000,2B,TOR,IF,6.725,182925936,LAA
Jose Ramirez,9400000,3B,CLE,IF,6.615,182925936,LAA
Walker Buehler,3750000,SP,LAD,SP,6.51,182925936,LAA
Bryce Harper,27538462,RF,PHI,OF,6.23,182925936,LAA
Robbie Ray,8000000,SP,TOR,SP,5.863333333,182925936,LAA
Aaron Judge,10175000,RF,NYY,OF,5.72,182925936,LAA
Brandon Woodruff,3275000,SP,MIL,SP,5.58,182925936,LAA
Matt Olson,5000000,1B,OAK,IF,5.355,182925936,LAA
Carlos Rodon,3000000,SP,CHW,SP,5.09,182925936,LAA
Shohei Ohtani,3000000,DH,LAA,DH,5.015,182925936,LAA
Enrique Hernandez,6000000,CF,BOS,OF,4.485,182925936,LAA
Mike Zunino,2000000,C,TBR,C,4.125,182925936,LAA
Josh Hader,6675000,RP,MIL,RP,3.116666667,182925936,LAA
Jesse Winker,3150000,LF,CIN,OF,2.865,182925936,LAA
Jacob Stallings,1300000,C,PIT,C,2.81,182925936,LAA
Liam Hendriks,11333333,RP,CHW,RP,2.563333333,182925936,LAA
Aaron Loup,3000000,RP,NYM,RP,2.43,182925936,LAA
Andrew Chafin,2250000,RP,CHC,RP,2.403333334,182925936,LAA
Blake Treinen,8000000,RP,LAD,RP,2.213333333,182925936,LAA
Chad Green,2150000,RP,NYY,RP,1.953333333,182925936,LAA
Kendall Graveman,1250000,RP,SEA,RP,1.813333334,182925936,LAA
Zack Wheeler,22500000,SP,PHI,SP,7.166666667,168923070,STL
Juan Soto,8500000,RF,WSN,OF,7.06,168923070,STL
Fernando Tatis Jr.,1714286,SS,SDP,IF,6.96,168923070,STL
Carlos Correa,11700000,SS,HOU,IF,6.765,168923070,STL
Marcus Semien,18000000,2B,TOR,IF,6.725,168923070,STL
Jose Ramirez,9400000,3B,CLE,IF,6.615,168923070,STL
Walker Buehler,3750000,SP,LAD,SP,6.51,168923070,STL
Robbie Ray,8000000,SP,TOR,SP,5.863333333,168923070,STL
Aaron Judge,10175000,RF,NYY,OF,5.72,168923070,STL
Brandon Woodruff,3275000,SP,MIL,SP,5.58,168923070,STL
Matt Olson,5000000,1B,OAK,IF,5.355,168923070,STL
Carlos Rodon,3000000,SP,CHW,SP,5.09,168923070,STL
Shohei Ohtani,3000000,DH,LAA,DH,5.015,168923070,STL
Joey Gallo,6200000,RF,TEX,OF,4.525,168923070,STL
Enrique Hernandez,6000000,CF,BOS,OF,4.485,168923070,STL
Mike Zunino,2000000,C,TBR,C,4.125,168923070,STL
Josh Hader,6675000,RP,MIL,RP,3.116666667,168923070,STL
Jesse Winker,3150000,LF,CIN,OF,2.865,168923070,STL
Jacob Stallings,1300000,C,PIT,C,2.81,168923070,STL
Liam Hendriks,11333333,RP,CHW,RP,2.563333333,168923070,STL
Aaron Loup,3000000,RP,NYM,RP,2.43,168923070,STL
Andrew Chafin,2250000,RP,CHC,RP,2.403333334,168923070,STL
Blake Treinen,8000000,RP,LAD,RP,2.213333333,168923070,STL
Ryan Pressly,8750000,RP,HOU,RP,2.163333333,168923070,STL
Chad Green,2150000,RP,NYY,RP,1.953333333,168923070,STL
Zack Wheeler,22500000,SP,PHI,SP,7.166666667,168252361,WSN
Juan Soto,8500000,RF,WSN,OF,7.06,168252361,WSN
Fernando Tatis Jr.,1714286,SS,SDP,IF,6.96,168252361,WSN
Carlos Correa,11700000,SS,HOU,IF,6.765,168252361,WSN
Marcus Semien,18000000,2B,TOR,IF,6.725,168252361,WSN
Jose Ramirez,9400000,3B,CLE,IF,6.615,168252361,WSN
Walker Buehler,3750000,SP,LAD,SP,6.51,168252361,WSN
Robbie Ray,8000000,SP,TOR,SP,5.863333333,168252361,WSN
Aaron Judge,10175000,RF,NYY,OF,5.72,168252361,WSN
Brandon Woodruff,3275000,SP,MIL,SP,5.58,168252361,WSN
Matt Olson,5000000,1B,OAK,IF,5.355,168252361,WSN
Carlos Rodon,3000000,SP,CHW,SP,5.09,168252361,WSN
Shohei Ohtani,3000000,DH,LAA,DH,5.015,168252361,WSN
Joey Gallo,6200000,RF,TEX,OF,4.525,168252361,WSN
Enrique Hernandez,6000000,CF,BOS,OF,4.485,168252361,WSN
Mike Zunino,2000000,C,TBR,C,4.125,168252361,WSN
Josh Hader,6675000,RP,MIL,RP,3.116666667,168252361,WSN
Jesse Winker,3150000,LF,CIN,OF,2.865,168252361,WSN
Jacob Stallings,1300000,C,PIT,C,2.81,168252361,WSN
Liam Hendriks,11333333,RP,CHW,RP,2.563333333,168252361,WSN
Aaron Loup,3000000,RP,NYM,RP,2.43,168252361,WSN
Andrew Chafin,2250000,RP,CHC,RP,2.403333334,168252361,WSN
Blake Treinen,8000000,RP,LAD,RP,2.213333333,168252361,WSN
Ryan Pressly,8750000,RP,HOU,RP,2.163333333,168252361,WSN
Kendall Graveman,1250000,RP,SEA,RP,1.813333334,168252361,WSN
Zack Wheeler,22500000,SP,PHI,SP,7.166666667,165869140,SFG
Juan Soto,8500000,RF,WSN,OF,7.06,165869140,SFG
Fernando Tatis Jr.,1714286,SS,SDP,IF,6.96,165869140,SFG
Carlos Correa,11700000,SS,HOU,IF,6.765,165869140,SFG
Marcus Semien,18000000,2B,TOR,IF,6.725,165869140,SFG
Jose Ramirez,9400000,3B,CLE,IF,6.615,165869140,SFG
Walker Buehler,3750000,SP,LAD,SP,6.51,165869140,SFG
Robbie Ray,8000000,SP,TOR,SP,5.863333333,165869140,SFG
Aaron Judge,10175000,RF,NYY,OF,5.72,165869140,SFG
Brandon Woodruff,3275000,SP,MIL,SP,5.58,165869140,SFG
Matt Olson,5000000,1B,OAK,IF,5.355,165869140,SFG
Carlos Rodon,3000000,SP,CHW,SP,5.09,165869140,SFG
Shohei Ohtani,3000000,DH,LAA,DH,5.015,165869140,SFG
Enrique Hernandez,6000000,CF,BOS,OF,4.485,165869140,SFG
Salvador Perez,14200000,C,KCR,C,4.345,165869140,SFG
Byron Buxton,5125000,CF,MIN,OF,4.32,165869140,SFG
Mike Zunino,2000000,C,TBR,C,4.125,165869140,SFG
Josh Hader,6675000,RP,MIL,RP,3.116666667,165869140,SFG
Jesse Winker,3150000,LF,CIN,OF,2.865,165869140,SFG
Liam Hendriks,11333333,RP,CHW,RP,2.563333333,165869140,SFG
Aaron Loup,3000000,RP,NYM,RP,2.43,165869140,SFG
Andrew Chafin,2250000,RP,CHC,RP,2.403333334,165869140,SFG
Chad Green,2150000,RP,NYY,RP,1.953333333,165869140,SFG
Ryan Tepera,800000,RP,CHC,RP,1.676666666,165869140,SFG
Adam Cimber,925000,RP,TOR,RP,1.433333333,165869140,SFG
Zack Wheeler,22500000,SP,PHI,SP,7.166666667,152261601,TOR
Juan Soto,8500000,RF,WSN,OF,7.06,152261601,TOR
Fernando Tatis Jr.,1714286,SS,SDP,IF,6.96,152261601,TOR
Carlos Correa,11700000,SS,HOU,IF,6.765,152261601,TOR
Marcus Semien,18000000,2B,TOR,IF,6.725,152261601,TOR
Jose Ramirez,9400000,3B,CLE,IF,6.615,152261601,TOR
Walker Buehler,3750000,SP,LAD,SP,6.51,152261601,TOR
Aaron Judge,10175000,RF,NYY,OF,5.72,152261601,TOR
Brandon Woodruff,3275000,SP,MIL,SP,5.58,152261601,TOR
Matt Olson,5000000,1B,OAK,IF,5.355,152261601,TOR
Carlos Rodon,3000000,SP,CHW,SP,5.09,152261601,TOR
Shohei Ohtani,3000000,DH,LAA,DH,5.015,152261601,TOR
Julio Urias,3600000,SP,LAD,SP,4.846666667,152261601,TOR
Joey Gallo,6200000,RF,TEX,OF,4.525,152261601,TOR
Enrique Hernandez,6000000,CF,BOS,OF,4.485,152261601,TOR
Mike Zunino,2000000,C,TBR,C,4.125,152261601,TOR
Josh Hader,6675000,RP,MIL,RP,3.116666667,152261601,TOR
Jesse Winker,3150000,LF,CIN,OF,2.865,152261601,TOR
Jacob Stallings,1300000,C,PIT,C,2.81,152261601,TOR
Liam Hendriks,11333333,RP,CHW,RP,2.563333333,152261601,TOR
Aaron Loup,3000000,RP,NYM,RP,2.43,152261601,TOR
Andrew Chafin,2250000,RP,CHC,RP,2.403333334,152261601,TOR
Chad Green,2150000,RP,NYY,RP,1.953333333,152261601,TOR
Kendall Graveman,1250000,RP,SEA,RP,1.813333334,152261601,TOR
Michael Fulmer,3100000,RP,DET,RP,1.81,152261601,TOR
Zack Wheeler,22500000,SP,PHI,SP,7.166666667,152189618,CHC
Juan Soto,8500000,RF,WSN,OF,7.06,152189618,CHC
Fernando Tatis Jr.,1714286,SS,SDP,IF,6.96,152189618,CHC
Carlos Correa,11700000,SS,HOU,IF,6.765,152189618,CHC
Marcus Semien,18000000,2B,TOR,IF,6.725,152189618,CHC
Jose Ramirez,9400000,3B,CLE,IF,6.615,152189618,CHC
Walker Buehler,3750000,SP,LAD,SP,6.51,152189618,CHC
Aaron Judge,10175000,RF,NYY,OF,5.72,152189618,CHC
Brandon Woodruff,3275000,SP,MIL,SP,5.58,152189618,CHC
Matt Olson,5000000,1B,OAK,IF,5.355,152189618,CHC
Carlos Rodon,3000000,SP,CHW,SP,5.09,152189618,CHC
Shohei Ohtani,3000000,DH,LAA,DH,5.015,152189618,CHC
Julio Urias,3600000,SP,LAD,SP,4.846666667,152189618,CHC
Joey Gallo,6200000,RF,TEX,OF,4.525,152189618,CHC
Enrique Hernandez,6000000,CF,BOS,OF,4.485,152189618,CHC
Mike Zunino,2000000,C,TBR,C,4.125,152189618,CHC
Josh Hader,6675000,RP,MIL,RP,3.116666667,152189618,CHC
Jesse Winker,3150000,LF,CIN,OF,2.865,152189618,CHC
Jacob Stallings,1300000,C,PIT,C,2.81,152189618,CHC
Liam Hendriks,11333333,RP,CHW,RP,2.563333333,152189618,CHC
Aaron Loup,3000000,RP,NYM,RP,2.43,152189618,CHC
Andrew Chafin,2250000,RP,CHC,RP,2.403333334,152189618,CHC
Chad Green,2150000,RP,NYY,RP,1.953333333,152189618,CHC
Kendall Graveman,1250000,RP,SEA,RP,1.813333334,152189618,CHC
Michael Fulmer,3100000,RP,DET,RP,1.81,152189618,CHC
Zack Wheeler,22500000,SP,PHI,SP,7.166666667,148497447,ATL
Juan Soto,8500000,RF,WSN,OF,7.06,148497447,ATL
Fernando Tatis Jr.,1714286,SS,SDP,IF,6.96,148497447,ATL
Carlos Correa,11700000,SS,HOU,IF,6.765,148497447,ATL
Jose Ramirez,9400000,3B,CLE,IF,6.615,148497447,ATL
Walker Buehler,3750000,SP,LAD,SP,6.51,148497447,ATL
Robbie Ray,8000000,SP,TOR,SP,5.863333333,148497447,ATL
Aaron Judge,10175000,RF,NYY,OF,5.72,148497447,ATL
Brandon Woodruff,3275000,SP,MIL,SP,5.58,148497447,ATL
Matt Olson,5000000,1B,OAK,IF,5.355,148497447,ATL
Starling Marte,12500000,CF,MIA,OF,5.115,148497447,ATL
Carlos Rodon,3000000,SP,CHW,SP,5.09,148497447,ATL
Shohei Ohtani,3000000,DH,LAA,DH,5.015,148497447,ATL
Brandon Lowe,2500000,2B,TBR,IF,4.79,148497447,ATL
Enrique Hernandez,6000000,CF,BOS,OF,4.485,148497447,ATL
Salvador Perez,14200000,C,KCR,C,4.345,148497447,ATL
Mike Zunino,2000000,C,TBR,C,4.125,148497447,ATL
Josh Hader,6675000,RP,MIL,RP,3.116666667,148497447,ATL
Jesse Winker,3150000,LF,CIN,OF,2.865,148497447,ATL
Aaron Loup,3000000,RP,NYM,RP,2.43,148497447,ATL
Andrew Chafin,2250000,RP,CHC,RP,2.403333334,148497447,ATL
Chad Green,2150000,RP,NYY,RP,1.953333333,148497447,ATL
Kendall Graveman,1250000,RP,SEA,RP,1.813333334,148497447,ATL
Mark Melancon,2000000,RP,SDP,RP,1.71,148497447,ATL
Ryan Tepera,800000,RP,CHC,RP,1.676666666,148497447,ATL
Juan Soto,8500000,RF,WSN,OF,7.06,141908402,CHW
Fernando Tatis Jr.,1714286,SS,SDP,IF,6.96,141908402,CHW
Carlos Correa,11700000,SS,HOU,IF,6.765,141908402,CHW
Marcus Semien,18000000,2B,TOR,IF,6.725,141908402,CHW
Jose Ramirez,9400000,3B,CLE,IF,6.615,141908402,CHW
Walker Buehler,3750000,SP,LAD,SP,6.51,141908402,CHW
Robbie Ray,8000000,SP,TOR,SP,5.863333333,141908402,CHW
Aaron Judge,10175000,RF,NYY,OF,5.72,141908402,CHW
Brandon Woodruff,3275000,SP,MIL,SP,5.58,141908402,CHW
Matt Olson,5000000,1B,OAK,IF,5.355,141908402,CHW
Carlos Rodon,3000000,SP,CHW,SP,5.09,141908402,CHW
Shohei Ohtani,3000000,DH,LAA,DH,5.015,141908402,CHW
Julio Urias,3600000,SP,LAD,SP,4.846666667,141908402,CHW
Joey Gallo,6200000,RF,TEX,OF,4.525,141908402,CHW
Enrique Hernandez,6000000,CF,BOS,OF,4.485,141908402,CHW
Mike Zunino,2000000,C,TBR,C,4.125,141908402,CHW
Josh Hader,6675000,RP,MIL,RP,3.116666667,141908402,CHW
Jesse Winker,3150000,LF,CIN,OF,2.865,141908402,CHW
Jacob Stallings,1300000,C,PIT,C,2.81,141908402,CHW
Liam Hendriks,11333333,RP,CHW,RP,2.563333333,141908402,CHW
Aaron Loup,3000000,RP,NYM,RP,2.43,141908402,CHW
Andrew Chafin,2250000,RP,CHC,RP,2.403333334,141908402,CHW
Blake Treinen,8000000,RP,LAD,RP,2.213333333,141908402,CHW
Luke Jackson,1900000,RP,ATL,RP,1.747453416,141908402,CHW
Ryan Tepera,800000,RP,CHC,RP,1.676666666,141908402,CHW
Juan Soto,8500000,RF,WSN,OF,7.06,131309602,CIN
Fernando Tatis Jr.,1714286,SS,SDP,IF,6.96,131309602,CIN
Carlos Correa,11700000,SS,HOU,IF,6.765,131309602,CIN
Jose Ramirez,9400000,3B,CLE,IF,6.615,131309602,CIN
Walker Buehler,3750000,SP,LAD,SP,6.51,131309602,CIN
Robbie Ray,8000000,SP,TOR,SP,5.863333333,131309602,CIN
Aaron Judge,10175000,RF,NYY,OF,5.72,131309602,CIN
Brandon Woodruff,3275000,SP,MIL,SP,5.58,131309602,CIN
Matt Olson,5000000,1B,OAK,IF,5.355,131309602,CIN
Carlos Rodon,3000000,SP,CHW,SP,5.09,131309602,CIN
Shohei Ohtani,3000000,DH,LAA,DH,5.015,131309602,CIN
Julio Urias,3600000,SP,LAD,SP,4.846666667,131309602,CIN
Brandon Lowe,2500000,2B,TBR,IF,4.79,131309602,CIN
Joey Gallo,6200000,RF,TEX,OF,4.525,131309602,CIN
Enrique Hernandez,6000000,CF,BOS,OF,4.485,131309602,CIN
Mike Zunino,2000000,C,TBR,C,4.125,131309602,CIN
Josh Hader,6675000,RP,MIL,RP,3.116666667,131309602,CIN
Kyle Schwarber,7000000,LF,WSN,OF,2.98,131309602,CIN
Jacob Stallings,1300000,C,PIT,C,2.81,131309602,CIN
Liam Hendriks,11333333,RP,CHW,RP,2.563333333,131309602,CIN
Aaron Loup,3000000,RP,NYM,RP,2.43,131309602,CIN
Andrew Chafin,2250000,RP,CHC,RP,2.403333334,131309602,CIN
Blake Treinen,8000000,RP,LAD,RP,2.213333333,131309602,CIN
